;Assets $;Market value $;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company
76;110,903;169,771;not available;26.0;38,226;48,663;Oracle
75;266,550;not available;not available;3.7;38,243;14,983;Massachusetts Mutual Life Insurance
74;49,316;85,308;not available;12.4;38,581;18,283;Honeywell International
73;861,395;69,253;not available;15.5;39,208;86,728;Goldman Sachs Group
72;121,707;not available;not available;1.3;39,450;19,143;Liberty Mutual Insurance Group
71;101,779;146,839;not available;11.2;39,498;44,676;Merck
70;13,519;10,489;not available;2.3;39,745;4,378;Best Buy
69;29,673;25,262;not available;3.9;40,204;10,376;Johnson Controls
68;185,306;not available;not available;1.4;40,222;15,095;Nationwide
67;53,134;37,898;not available;11.1;40,704;10,850;Delta Air Lines
66;48,415;24,730;not available;18.6;40,990;5,635;American Airlines Group
65;23,004;26,331;not available;2.9;41,373;9,691;Tyson Foods
64;71,189;7,449;not available;2.8;42,126;-932;Energy Transfer Equity
63;12,307;5,328;not available;0.5;43,026;3,968;Ingram Micro
62;32,744;30,890;not available;4.9;43,591;-7,599;HCA Holdings
61;90,093;200,845;not available;16.6;44,294;25,554;Coca-Cola
60;271,668;not available;not available;0.6;45,891;19,496;New York Life Insurance
59;49,128;67,508;not available;7.8;46,132;3,097;Lockheed Martin
58;78,497;44,571;not available;4.5;47,011;14,809;Caterpillar
57;37,069;43,678;not available;2.2;47,453;14,993;FedEx
56;17,989;26,384;not available;1.4;48,681;5,260;Sysco
55;68,026;56,816;not available;15.8;48,778;25,374;Dow Chemical
54;167,460;183,298;not available;14.2;48,851;64,720;Pfizer
53;113,481;143,265;not available;18.3;49,161;59,698;Cisco Systems
52;88,182;162,031;not available;16.0;52,465;44,525;Disney
51;24,705;27,263;not available;2.4;54,289;10,346;Humana
50;103,065;152,821;not available;20.6;55,355;61,085;Intel
49;757,388;32,086;not available;9.9;57,119;41,890;Prudential Financial
48;496,943;61,283;not available;3.8;58,327;89,658;AIG
47;38,311;93,277;not available;8.3;58,363;2,470;UPS
46;31,266;67,981;not available;4.3;59,074;7,654;Lowe’s
45;53,424;39,278;not available;4.0;60,337;16,114;Aetna
44;87,484;83,727;not available;12.5;61,047;27,358;United Technologies
43;69,667;149,753;not available;8.6;63,056;11,923;PepsiCo
42;1,986,050;871;not available;10.0;63,491;2,940;Freddie Mac
41;43,115;19,677;not available;4.4;64,566;13,237;Marathon Petroleum
40;40,157;21,320;not available;2.7;67,702;17,899;Archer Daniels Midland
39;877,933;48,188;not available;7.6;69,951;67,949;MetLife
38;133,411;298,563;not available;22.0;70,074;71,150;"Johnson &amp; Johnson"
37;40,262;49,367;not available;4.6;73,785;12,957;Target
36;166,574;149,182;not available;11.0;74,510;52,269;Comcast
35;147,461;525,119;not available;21.8;74,989;120,331;Alphabet
34;241,183;not available;not available;8.2;75,697;82,660;State Farm Insurance Cos.
33;129,495;222,613;not available;8.9;78,756;62,419;"Procter &amp; Gamble"
32;61,718;36,325;not available;3.2;79,157;23,044;Anthem
31;44,343;30,132;not available;4.9;81,824;20,527;Valero Energy
30;110,495;145,525;not available;16.0;82,461;14,262;IBM
29;48,580;45,566;not available;4.8;87,169;23,100;Phillips 66
28;1,731,210;122,796;not available;19.5;88,275;221,857;Citigroup
27;42,549;167,181;not available;7.9;88,519;6,316;Home Depot
26;1,787,632;244,568;not available;25.4;90,033;192,998;Wells Fargo
25;2,144,316;139,603;not available;17.1;93,056;256,205;Bank of America Corp.
24;176,223;436,831;not available;13.0;93,580;80,083;Microsoft
23;94,408;82,645;not available;5.4;96,114;6,335;Boeing
22;2,351,698;217,353;not available;24.2;101,006;247,573;J.P. Morgan Chase
21;53,243;43,467;not available;2.4;101,752;17,373;Express Scripts Holding
20;30,142;26,989;not available;1.2;102,531;6,256;Cardinal Health
19;106,882;21,272;not available;4.4;103,355;27,768;HP
18;68,782;90,874;not available;4.1;103,444;30,861;Walgreens Boots Alliance
17;65,444;279,511;not available;0.6;107,006;13,384;Amazon.com
16;33,897;36,815;not available;1.9;109,830;6,820;Kroger
15;3,221,917;1,621;not available;9.9;110,359;4,030;Fannie Mae
14;33,440;69,183;not available;2.0;116,199;10,617;Costco
13;266,103;179,653;not available;3.5;131,118;152,716;Chevron
12;244,640;220,646;not available;13.6;131,620;16,428;Verizon
11;27,736;19,511;not available;-0.1;135,962;634;AmerisourceBergen
10;492,692;295,174;not available;-4.4;140,389;98,274;General Electric
9;402,672;240,943;not available;9.1;146,801;122,671;"AT&amp;T"
8;224,925;53,758;not available;4.9;149,558;28,642;Ford Motor
7;194,520;48,543;not available;6.4;152,356;39,871;General Motors
6;93,657;113,947;not available;3.4;153,290;37,196;CVS Health
5;111,383;122,542;not available;3.7;157,107;33,830;UnitedHealth Group
4;53,870;35,945;not available;0.8;181,241;8,001;McKesson
3;552,257;350,279;not available;11.4;210,821;255,550;Berkshire Hathaway
2;290,479;604,304;not available;22.8;233,715;119,355;Apple
1;336,758;347,129;not available;6.6;246,204;170,811;Exxon Mobil
0;199,581;215,356;not available;3.0;482,130;80,546;Walmart
