;Assets $;Market value $;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company
403;22,422;13,049;not available;9.3;6,440;2,010;Alliance Data Systems
402;20,340;11,797;not available;8.1;6,456;3,938;CMS Energy
401;18,833;5,447;not available;3.6;6,472;3,109;Calpine
400;183,718;37,026;not available;22.3;6,501;13,402;Charles Schwab
399;13,233;11,988;not available;13.5;6,508;5,935;Symantec
398;6,867;9,130;not available;2.7;6,510;-4,911;Cablevision Systems
397;20,108;not available;not available;12.5;6,517;8,777;Auto-Owners Insurance
396;7,611;11,547;not available;9.1;6,540;957;Coca-Cola European Partners
395;5,637;2,702;not available;2.2;6,543;1,877;Terex
394;10,968;3,478;not available;4.6;6,572;1,987;Ryder System
393;34,195;16,676;not available;-46.5;6,575;19,386;Hess
392;2,306;1,494;not available;2.6;6,588;315;Asbury Automotive Group
391;26,269;20,564;not available;9.6;6,595;9,321;Fidelity National Information Services
390;4,142;1,718;not available;1.9;6,596;1,179;Anixter International
389;2,582;8,911;not available;6.9;6,617;1,692;Expeditors International of Washington
388;5,778;6,026;not available;11.9;6,644;2,120;Spirit AeroSystems Holdings
387;18,842;18,475;not available;-347.4;6,654;2,566;Apache
386;13,254;4,795;not available;0.9;6,659;1,461;Targa Resources
385;12,771;49,533;not available;-0.7;6,667;5,003;salesforce.com
384;15,504;16,236;not available;11.5;6,672;4,864;Expedia
383;10,547;6,926;not available;4.2;6,691;2,692;UGI
382;4,084;737;not available;-7.6;6,693;-978;AK Steel Holding
381;16,356;not available;not available;12.5;6,694;2,610;Jones Financial
380;3,547;2,948;not available;2.6;6,723;1,477;EMCOR Group
379;3,866;3,050;not available;4.0;6,755;1,795;Dillard’s
378;10,203;43,763;not available;1.8;6,780;2,223;Netflix
377;6,024;6,471;not available;5.8;7,020;1,490;Huntington Ingalls Industries
376;8,620;9,979;not available;12.4;7,029;3,645;Dover
375;141,082;13,082;not available;24.3;7,031;15,839;Fifth Third Bancorp
374;7,426;9,410;not available;4.8;7,032;527;Sealed Air
373;2,470;4,425;not available;2.6;7,052;875;Casey’s General Stores
372;12,486;24,455;not available;7.1;7,082;4,869;Weyerhaeuser
371;6,519;1,035;not available;-1.3;7,098;1,500;Kindred Healthcare
370;5,995;8,502;not available;9.9;7,164;2,334;Darden Restaurants
369;3,880;2,095;not available;-16.0;7,173;-1,070;Avon Products
368;5,648;9,777;not available;5.9;7,193;3,115;LKQ
367;21,731;6,889;not available;7.0;7,207;4,600;W.R. Berkley
366;35,629;not available;not available;4.6;7,236;5,127;Mutual of Omaha Insurance
365;6,156;4,517;not available;-0.4;7,246;1,237;Live Nation Entertainment
364;3,559;5,373;not available;4.5;7,271;1,789;Dick’s Sporting Goods
363;49,020;12,054;not available;-7.8;7,360;6,148;Williams
362;21,334;9,009;not available;-9.4;7,386;3,461;CenterPoint Energy
361;5,344;19,797;not available;6.9;7,387;998;Hershey
360;3,775;8,778;not available;7.3;7,412;2,553;Foot Locker
359;6,501;4,098;not available;3.6;7,467;2,838;AGCO
358;18,133;25,473;not available;-3.2;7,477;6,320;Boston Scientific
357;9,962;10,200;not available;9.5;7,493;4,684;Quest Diagnostics
356;4,587;2,307;not available;2.8;7,519;1,777;WESCO International
355;6,202;5,480;not available;-1.7;7,594;2,680;Steel Dynamics
354;12,585;9,229;not available;6.0;7,614;1,966;Interpublic Group
353;6,106;8,087;not available;9.2;7,620;3,891;Ralph Lauren
352;12,643;3,366;not available;-2.5;7,623;2,717;XPO Logistics
351;5,214;3,605;not available;4.1;7,632;3,086;Quanta Services
350;1,925;1,130;not available;0.8;7,652;791;SpartanNash
349;39,301;25,727;not available;8.9;7,669;9,919;PPL
348;25,182;14,065;not available;2.8;7,729;11,350;Newmont Mining
347;15,446;6,270;not available;3.2;7,763;336;Oneok
346;71,058;6,600;not available;6.3;7,786;5,547;KKR
345;3,227;2,246;not available;2.3;7,864;828;Lithia Motors
344;5,680;10,469;not available;4.5;7,904;-135;Masco
343;16,336;23,143;not available;25.6;7,949;11,841;Franklin Resources
342;30,580;18,505;not available;11.0;7,955;10,352;Eversource Energy
341;6,677;26,553;not available;11.7;7,967;1,961;O’Reilly Automotive
340;9,777;10,058;not available;3.5;7,997;1,251;Ball
339;10,696;8,051;not available;7.1;8,020;4,552;PVH
338;8,842;8,379;not available;7.6;8,023;3,554;BorgWarner
337;9,942;14,118;not available;7.6;8,072;4,854;Mohawk Industries
336;8,089;19,721;not available;8.5;8,082;1,380;Campbell Soup
335;2,528;1,588;not available;-0.1;8,122;546;Dean Foods
334;2,550;2,028;not available;1.7;8,185;1,386;United Natural Foods
333;3,967;2,963;not available;3.0;8,209;433;Tenneco
332;24,145;18,859;not available;41.7;8,229;10,126;Level 3 Communications
331;21,461;not available;not available;8.4;8,286;7,363;American Family Insurance Group
330;13,693;not available;not available;11.7;8,394;10,032;Broadcom
329;17,634;2,607;not available;3.7;8,502;439;Avis Budget Group
328;190,817;18,220;not available;22.7;8,533;23,329;SunTrust Banks
327;14,293;12,899;not available;1.7;8,604;4,052;Jarden
326;15,093;7,412;not available;-1.7;8,633;11,945;News Corp.
325;137,279;not available;not available;7.6;8,642;10,024;Pacific Life
324;14,222;11,912;not available;5.0;8,680;4,944;Laboratory Corp. of America
323;46,414;24,029;not available;-76.9;8,698;12,819;Anadarko Petroleum
322;2,477;596;not available;0.3;8,718;530;Veritiv
321;26,975;39,911;not available;-51.7;8,757;12,943;EOG Resources
320;10,020;6,923;not available;4.5;8,762;144;Crown Holdings
