;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
10;492,692;295,174;140,389;98,274;General Electric;TRUE;0;45;0;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;51.2;Fairly difficult;80;43;192;www.ge.com;10;109;119;0;0;2;1;0;0;1;0;0;4;0.019;2805222;13.0
11;27,736;19,511;135,962;634;AmerisourceBergen;TRUE;0;3;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.amerisourcebergen.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;9286;2.7
12;244,64;220,646;131,62;16,428;Verizon;TRUE;0;20;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;46.1;Difficult;55;13;89;www.verizon.com;0;54;54;0;0;0;0;0;0;2;0;0;2;0.024;1335968;34.7
13;266,103;179,653;131,118;152,716;Chevron;TRUE;0;184;8;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;20.4;Very Confusing;348;311;926;www.chevron.com;6;291;297;0;0;4;0;0;11;13;0;0;28;0.045;6647415;4.4
14;33,44;69,183;116,199;10,617;Costco;TRUE;0;142;26;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;70.3;Standard;20;4;43;www.costco.com;17;270;287;0;0;4;0;0;33;46;8;0;91;0.09;15590841;15.9
15;3,221,917;1,621;110,359;4,03;Fannie Mae;TRUE;0;6;2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.fanniemae.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8962;1.4
16;33,897;36,815;109,83;6,82;Kroger;TRUE;1;0;0;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;43.5;Difficult;74;118;500;www.thekrogerco.com;10;95;105;0;0;1;0;0;9;31;3;0;44;0.325;2205748;6.9
17;65,444;279,511;107,006;13,384;Amazon.com;TRUE;0;60;16;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;73.3;Fairly easy;11;10;56;www.amazon.com;10;210;220;0;13;12;0;0;25;45;31;0;126;0.646;196771;5.4
18;68,782;90,874;103,444;30,861;Walgreens Boots Alliance;TRUE;0;1;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;37;Difficult;223;121;584;www.walgreensbootsalliance.com;0;116;116;0;0;0;0;0;9;0;1;0;10;0.602;3321309;9.5
19;106,882;21,272;103,355;27,768;HP;TRUE;0;42;214;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;57.9;Fairly difficult;273;149;763;www.hp.com;7;152;159;0;0;1;0;0;7;0;6;0;14;0.032;5563209;21.8
20;30,142;26,989;102,531;6,256;Cardinal Health;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;39.5;Difficult;482;289;1316;www.cardinal.com;4;252;256;0;0;1;1;1;6;18;8;0;35;0.042;5299113;6.2
21;53,243;43,467;101,752;17,373;Express Scripts Holding;TRUE;0;9;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;47.5;Difficult;76;86;322;www.express-scripts.com;16;47;63;0;0;0;0;0;0;0;0;0;0;0.143;1397643;8.5
22;2,351,698;217,353;101,006;247,573;J.P. Morgan Chase;TRUE;0;9;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;45.4;Difficult;291;244;1343;www.jpmorganchase.com;32;244;276;0;0;0;0;0;23;30;2;0;55;0.384;6216414;1.5
23;94,408;82,645;96,114;6,335;Boeing;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;53.7;Fairly difficult;183;116;545;www.boeing.com;4;161;165;0;0;0;0;0;112;0;0;0;112;0.515;3666223;-0.8
24;176,223;436,831;93,58;80,083;Microsoft;TRUE;0;406;73;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;42.7;Difficult;1;4;25;www.microsoft.com;79;41;120;0;0;5;0;0;0;1;0;0;6;0.047;20600;10.9
