Range;Company;site;loading.time
137;Progressive;http://www.progressive.com;0,029
138;Abbott Laboratories;http://www.abbott.com;0,162
139;Dollar General;http://www.dollargeneral.com;1,204
141;Eli Lilly;http://www.lilly.com;0,012
143;Penske Automotive Group;http://www.penskeautomotive.com;0,241
144;ManpowerGroup;http://www.manpowergroup.com;0,318
145;Kohl’s;http://www.kohlscorporation.com;0,052
146;Starbucks;http://www.starbucks.com;0,167
147;Paccar;http://www.paccar.com;0,42
148;Cummins;http://www.cummins.com;0,125
149;Altria Group;http://www.altria.com;0,088
150;Xerox;http://www.xerox.com;0,108
151;Kimberly-Clark;http://www.kimberly-clark.com;0,065
152;Hartford Financial Services Group;http://www.thehartford.com;0,042
153;Kraft Heinz;http://www.kraftheinzcompany.com;0,203
154;Lear;http://www.lear.com;1,147
155;Fluor;http://www.fluor.com;0,323
156;AECOM;http://www.aecom.com;0,265
157;Facebook;http://www.facebook.com;0,228
158;Jabil Circuit;http://www.jabil.com;0,369
159;CenturyLink;http://www.centurylink.com;1,247
160;Supervalu;http://www.supervalu.com;0,373
161;General Mills;http://www.generalmills.com;0,827
163;NextEra Energy;http://www.nexteraenergy.com;0,192
164;Thermo Fisher Scientific;http://www.thermofisher.com;0,49
166;PG&E Corp.;http://www.pge.com;0
167;NGL Energy Partners;http://www.nglenergypartners.com;0,158
168;Bristol-Myers Squibb;http://www.bms.com;0,546
169;Goodyear Tire & Rubber;http://www.goodyear.com;0,12
170;Nucor;http://www.nucor.com;0,535
171;PNC Financial Services Group;http://www.pnc.com;0,128
172;Health Net;http://www.healthnet.com;0,402
173;Micron Technology;http://www.micron.com;0,575
174;Colgate-Palmolive;http://www.colgatepalmolive.com;0,023
175;Freeport-McMoRan;http://www.fcx.com;0,022
176;ConAgra Foods;http://www.conagrafoods.com;0,606
177;Gap;http://www.gapinc.com;0,445
178;Baker Hughes;http://www.bakerhughes.com;0,349
179;Bank of New York Mellon Corp.;http://www.bnymellon.com;0,212
180;Dollar Tree;http://www.dollartree.com;0,173
181;Whole Foods Market;http://www.wholefoodsmarket.com;0,412
182;PPG Industries;http://www.ppg.com;0,409
183;Genuine Parts;http://www.genpt.com;0,181
184;Icahn Enterprises;http://www.ielp.com;0,156
185;Performance Food Group;http://www.pfgc.com;1,137
186;Omnicom Group;http://www.omnicomgroup.com;0,604
187;DISH Network;http://www.dish.com;0,442
188;FirstEnergy;http://www.firstenergycorp.com;0,617
189;Monsanto;http://www.monsanto.com;1,391
190;AES;http://www.aes.com;0,601
191;CarMax;http://www.carmax.com;0,33
192;National Oilwell Varco;http://www.nov.com;1,131
193;NRG Energy;http://www.nrgenergy.com;0,198
194;Western Digital;http://www.westerndigital.com;0,028
195;Marriott International;http://www.marriott.com;0,103
