range;company;facebook;twitter;instagram;pinterest;youtube
130;Amgen;NO;YES;NO;NO;YES;
131;U.S. Bancorp;NO;YES;NO;NO;NO;
132;Staples;YES;YES;NO;NO;YES;
133;Danaher;NO;NO;NO;NO;NO;
134;Whirlpool;NO;YES;NO;NO;YES;
135;Aflac;YES;YES;YES;NO;YES;
137;Progressive;YES;YES;NO;NO;YES;
138;Abbott Laboratories;YES;YES;YES;NO;YES;
139;Dollar General;YES;YES;NO;YES;YES;
141;Eli Lilly;NO;NO;NO;NO;YES;
143;Penske Automotive Group;YES;YES;NO;NO;YES;
144;ManpowerGroup;NO;YES;NO;NO;YES;
145;Kohl’s;YES;YES;YES;YES;YES;
146;Starbucks;YES;YES;YES;YES;YES;
147;Paccar;NO;NO;NO;NO;NO;
148;Cummins;YES;YES;YES;NO;YES;
149;Altria Group;YES;YES;NO;NO;YES;
150;Xerox;YES;YES;NO;NO;YES;
151;Kimberly-Clark;YES;YES;NO;NO;YES;
152;Hartford Financial Services Group;YES;YES;NO;NO;YES;
153;Kraft Heinz;NO;YES;NO;NO;NO;
154;Lear;YES;YES;YES;NO;YES;
155;Fluor;NO;YES;NO;NO;YES;
156;AECOM;YES;YES;YES;YES;YES;
157;Facebook;YES;NO;NO;NO;NO;
158;Jabil Circuit;YES;YES;NO;NO;YES;
159;CenturyLink;YES;YES;NO;NO;YES;
160;Supervalu;NO;YES;NO;NO;NO;
161;General Mills;NO;YES;YES;NO;YES;
163;NextEra Energy;YES;YES;NO;NO;NO;
164;Thermo Fisher Scientific;NO;NO;NO;NO;YES;
166;PG&E Corp.;NO;NO;NO;NO;NO;
167;NGL Energy Partners;NO;NO;NO;NO;NO;
168;Bristol-Myers Squibb;YES;YES;NO;NO;YES;
169;Goodyear Tire & Rubber;NO;NO;NO;NO;NO;
170;Nucor;NO;NO;NO;NO;NO;
171;PNC Financial Services Group;YES;YES;NO;YES;YES;
172;Health Net;YES;YES;NO;NO;YES;
173;Micron Technology;NO;NO;NO;NO;YES;
174;Colgate-Palmolive;YES;YES;NO;NO;YES;
175;Freeport-McMoRan;NO;NO;NO;NO;NO;
176;ConAgra Foods;YES;YES;YES;YES;YES;
177;Gap;YES;YES;YES;NO;YES;
178;Baker Hughes;YES;YES;NO;NO;YES;
179;Bank of New York Mellon Corp.;YES;YES;NO;NO;YES;
180;Dollar Tree;YES;YES;NO;YES;NO;
181;Whole Foods Market;YES;YES;YES;YES;YES;
182;PPG Industries;YES;YES;NO;NO;YES;
183;Genuine Parts;YES;YES;NO;NO;NO;
184;Icahn Enterprises;YES;YES;NO;NO;NO;
185;Performance Food Group;YES;NO;NO;NO;YES;
186;Omnicom Group;YES;YES;YES;NO;NO;
187;DISH Network;YES;YES;YES;NO;NO;
188;FirstEnergy;YES;YES;NO;NO;YES;
189;Monsanto;YES;YES;NO;YES;YES;
190;AES;NO;YES;NO;NO;YES;
191;CarMax;YES;YES;NO;NO;NO;
192;National Oilwell Varco;YES;YES;YES;NO;YES;
193;NRG Energy;YES;YES;YES;NO;YES;
194;Western Digital;YES;YES;YES;NO;YES;
195;Marriott International;YES;YES;NO;NO;NO;
196;Office Depot;YES;YES;YES;YES;YES;
197;Nordstrom;YES;YES;YES;YES;YES;
198;Kinder Morgan;YES;YES;NO;NO;YES;
199;Aramark;YES;YES;NO;NO;YES;
200;DaVita HealthCare Partners;YES;NO;NO;NO;NO;
201;Molina Healthcare;YES;YES;YES;NO;YES;
202;WellCare Health Plans;YES;YES;NO;NO;YES;
203;CBS;NO;NO;NO;NO;YES;
204;Visa;NO;NO;NO;NO;NO;
205;Lincoln National;YES;YES;NO;NO;YES;
206;Ecolab;YES;YES;YES;NO;YES;
207;Kellogg;YES;YES;NO;NO;YES;
208;C.H. Robinson Worldwide;YES;YES;NO;NO;YES;
209;Textron;YES;YES;YES;NO;YES;
210;Loews;NO;NO;NO;NO;NO;
211;Illinois Tool Works;NO;NO;NO;NO;NO;
212;Synnex;NO;NO;NO;NO;NO;
213;Viacom;YES;YES;NO;NO;NO;
214;HollyFrontier;NO;NO;NO;NO;NO;
215;Land O’Lakes;YES;YES;NO;NO;YES;
216;Devon Energy;NO;YES;NO;NO;NO;
218;Yum Brands;NO;YES;NO;NO;NO;
219;Texas Instruments;YES;YES;NO;NO;NO;
220;CDW;YES;YES;NO;NO;NO;
221;Waste Management;YES;YES;NO;NO;YES;
222;Marsh & McLennan;NO;YES;NO;NO;NO;
223;Chesapeake Energy;YES;YES;NO;NO;YES;
224;Parker-Hannifin;NO;NO;NO;NO;NO;
225;Occidental Petroleum;NO;NO;NO;NO;YES;
226;Guardian Life Ins. Co. of America;NO;NO;NO;NO;NO;
227;Farmers Insurance Exchange;YES;YES;YES;NO;YES;
228;J.C. Penney;YES;YES;NO;YES;YES;
229;Consolidated Edison;NO;NO;NO;NO;NO;
230;Cognizant Technology Solutions;YES;YES;NO;NO;YES;
231;VF;NO;YES;NO;NO;YES;
232;Ameriprise Financial;YES;YES;NO;NO;YES;
233;Computer Sciences;YES;YES;NO;NO;YES;
234;L Brands;YES;YES;YES;YES;YES;
235;Jacobs Engineering Group;NO;NO;NO;NO;NO;
236;Principal Financial;YES;YES;NO;NO;YES;
237;Ross Stores;YES;NO;YES;NO;YES;
238;Bed Bath & Beyond;YES;YES;YES;YES;YES;
239;CSX;YES;YES;YES;NO;YES;
240;Toys “R” Us;YES;YES;YES;YES;YES;
241;Las Vegas Sands;YES;YES;YES;NO;NO;
242;Leucadia National;NO;NO;NO;NO;NO;
244;United States Steel;NO;NO;NO;NO;NO;
245;L-3 Communications;YES;NO;NO;NO;YES;
246;Edison International;YES;YES;NO;NO;YES;
247;Entergy;YES;YES;NO;NO;YES;
248;ADP;NO;YES;NO;NO;NO;
249;First Data;NO;NO;NO;NO;NO;
250;BlackRock;NO;NO;NO;NO;NO;
251;WestRock;YES;YES;NO;NO;NO;
252;Voya Financial;YES;YES;NO;NO;YES;
253;Sherwin-Williams;YES;NO;NO;NO;NO;
254;Hilton Worldwide Holdings;NO;NO;NO;NO;NO;
255;R.R. Donnelley & Sons;YES;YES;NO;NO;YES;
256;Stanley Black & Decker;YES;YES;NO;NO;NO;
257;Xcel Energy;YES;YES;YES;NO;YES;
258;Murphy USA;NO;NO;NO;NO;NO;
259;CBRE Group;YES;YES;NO;NO;NO;
260;D.R. Horton;YES;YES;YES;YES;NO;
261;Estee Lauder;YES;NO;NO;NO;NO;
262;Praxair;YES;YES;NO;NO;YES;
263;Biogen;NO;YES;NO;NO;YES;
264;State Street Corp.;YES;YES;NO;NO;YES;
265;Unum Group;NO;YES;NO;NO;NO;
266;Reynolds American;NO;YES;NO;NO;NO;
267;Group 1 Automotive;NO;NO;NO;NO;NO;
268;Henry Schein;NO;NO;NO;NO;NO;
269;Hertz Global Holdings;YES;NO;NO;NO;NO;
270;Norfolk Southern;YES;YES;NO;NO;YES;
271;Reinsurance Group of America;YES;YES;NO;NO;NO;
272;Public Service Enterprise Group;YES;YES;NO;NO;YES;
273;BB&T Corp.;YES;YES;NO;NO;YES;
274;DTE Energy;YES;YES;NO;NO;YES;
275;Assurant;NO;YES;NO;NO;NO;
277;Huntsman;YES;YES;NO;NO;YES;
278;Becton Dickinson;YES;YES;NO;NO;YES;
279;Sempra Energy;NO;YES;NO;NO;NO;
280;AutoZone;YES;YES;NO;NO;YES;
281;Navistar International;YES;YES;NO;NO;YES;
