range;company;</title>;</html>;</body>;</div>;</span>;Correct
121;Plains GP Holdings;YES;YES;YES;YES;YES;YES
122;US Foods Holding;YES;YES;YES;YES;YES;YES
123;AbbVie;YES;YES;YES;YES;YES;YES
124;Centene;YES;NO;YES;NO;YES;NO
125;Community Health Systems;YES;NO;YES;YES;YES;NO
126;Alcoa;YES;YES;YES;NO;YES;NO
127;International Paper;YES;NO;YES;YES;YES;NO
128;Emerson Electric;YES;YES;YES;NO;YES;NO
129;Union Pacific;YES;YES;YES;YES;YES;YES
130;Amgen;YES;NO;YES;YES;YES;NO
131;U.S. Bancorp;YES;YES;NO;YES;YES;NO
132;Staples;YES;YES;NO;YES;YES;NO
133;Danaher;YES;NO;YES;YES;YES;NO
134;Whirlpool;YES;NO;YES;NO;YES;NO
135;Aflac;YES;NO;YES;YES;YES;NO
137;Progressive;YES;NO;YES;YES;YES;NO
138;Abbott Laboratories;YES;NO;YES;YES;YES;NO
139;Dollar General;YES;NO;NO;YES;YES;NO
141;Eli Lilly;YES;NO;YES;YES;YES;NO
143;Penske Automotive Group;YES;YES;YES;YES;YES;YES
144;ManpowerGroup;YES;YES;YES;YES;YES;YES
145;Kohl’s;YES;YES;YES;YES;YES;YES
146;Starbucks;YES;NO;YES;YES;YES;NO
147;Paccar;YES;YES;YES;NO;YES;NO
148;Cummins;YES;YES;YES;YES;YES;YES
149;Altria Group;YES;YES;YES;NO;YES;NO
150;Xerox;YES;YES;YES;YES;YES;YES
151;Kimberly-Clark;YES;YES;YES;YES;YES;YES
152;Hartford Financial Services Group;YES;NO;YES;YES;YES;NO
153;Kraft Heinz;YES;YES;YES;YES;YES;YES
154;Lear;YES;NO;YES;YES;YES;NO
155;Fluor;YES;YES;YES;YES;YES;YES
156;AECOM;YES;YES;YES;NO;YES;NO
157;Facebook;YES;YES;YES;YES;YES;YES
158;Jabil Circuit;YES;YES;YES;YES;YES;YES
159;CenturyLink;YES;YES;YES;NO;NO;NO
160;Supervalu;YES;YES;YES;YES;YES;YES
161;General Mills;YES;NO;YES;YES;YES;NO
163;NextEra Energy;YES;YES;YES;YES;YES;YES
164;Thermo Fisher Scientific;YES;YES;YES;YES;YES;YES
166;PG&E Corp.;YES;YES;YES;YES;YES;YES
167;NGL Energy Partners;YES;YES;YES;YES;YES;YES
168;Bristol-Myers Squibb;YES;YES;YES;NO;YES;NO
169;Goodyear Tire & Rubber;YES;YES;YES;YES;YES;YES
170;Nucor;YES;NO;YES;YES;YES;NO
171;PNC Financial Services Group;YES;NO;YES;YES;NO;NO
172;Health Net;YES;YES;YES;NO;YES;NO
173;Micron Technology;YES;NO;YES;YES;YES;NO
174;Colgate-Palmolive;YES;NO;YES;YES;YES;NO
175;Freeport-McMoRan;YES;YES;YES;NO;YES;NO
176;ConAgra Foods;YES;NO;YES;YES;YES;NO
177;Gap;YES;YES;YES;YES;YES;YES
178;Baker Hughes;YES;YES;YES;YES;YES;YES
179;Bank of New York Mellon Corp.;YES;NO;YES;YES;YES;NO
180;Dollar Tree;YES;YES;YES;YES;YES;YES
181;Whole Foods Market;YES;NO;YES;YES;YES;NO
182;PPG Industries;YES;YES;YES;YES;YES;YES
183;Genuine Parts;YES;YES;YES;YES;YES;YES
184;Icahn Enterprises;YES;YES;YES;YES;YES;YES
185;Performance Food Group;YES;NO;YES;YES;YES;NO
186;Omnicom Group;YES;NO;YES;YES;YES;NO
187;DISH Network;YES;NO;NO;YES;NO;NO
188;FirstEnergy;YES;YES;YES;YES;YES;YES
189;Monsanto;YES;YES;YES;YES;YES;YES
190;AES;YES;YES;YES;YES;YES;YES
191;CarMax;YES;YES;YES;YES;YES;YES
192;National Oilwell Varco;YES;YES;YES;NO;YES;NO
193;NRG Energy;YES;NO;YES;YES;YES;NO
194;Western Digital;YES;NO;YES;YES;YES;NO
195;Marriott International;YES;YES;YES;NO;YES;NO
196;Office Depot;YES;YES;YES;YES;YES;YES
197;Nordstrom;YES;NO;YES;YES;YES;NO
198;Kinder Morgan;YES;YES;YES;YES;YES;YES
199;Aramark;YES;YES;YES;YES;YES;YES
200;DaVita HealthCare Partners;YES;NO;YES;YES;YES;NO
201;Molina Healthcare;YES;YES;YES;NO;YES;NO
202;WellCare Health Plans;YES;YES;YES;YES;YES;YES
203;CBS;YES;NO;YES;YES;YES;NO
204;Visa;YES;NO;YES;YES;YES;NO
205;Lincoln National;YES;YES;NO;NO;YES;NO
206;Ecolab;YES;YES;YES;YES;YES;YES
207;Kellogg;YES;NO;YES;YES;YES;NO
208;C.H. Robinson Worldwide;YES;YES;YES;YES;YES;YES
209;Textron;YES;NO;YES;YES;YES;NO
210;Loews;YES;NO;YES;YES;YES;NO
211;Illinois Tool Works;YES;YES;NO;YES;YES;NO
212;Synnex;YES;YES;YES;YES;YES;YES
213;Viacom;YES;YES;YES;YES;YES;YES
214;HollyFrontier;YES;YES;YES;YES;YES;YES
215;Land O’Lakes;YES;YES;YES;YES;YES;YES
216;Devon Energy;YES;NO;YES;YES;YES;NO
218;Yum Brands;YES;YES;YES;YES;YES;YES
219;Texas Instruments;YES;YES;YES;YES;YES;YES
220;CDW;YES;YES;YES;NO;YES;NO
221;Waste Management;YES;NO;YES;YES;NO;NO
222;Marsh & McLennan;YES;YES;YES;YES;YES;YES
223;Chesapeake Energy;YES;NO;YES;YES;YES;NO
224;Parker-Hannifin;YES;YES;NO;NO;YES;NO
225;Occidental Petroleum;YES;YES;YES;YES;YES;YES
226;Guardian Life Ins. Co. of America;YES;YES;YES;YES;YES;YES
227;Farmers Insurance Exchange;YES;NO;NO;NO;YES;NO
228;J.C. Penney;YES;YES;YES;NO;YES;NO
229;Consolidated Edison;YES;YES;YES;YES;YES;YES
230;Cognizant Technology Solutions;YES;NO;YES;NO;YES;NO
231;VF;YES;NO;YES;YES;YES;NO
232;Ameriprise Financial;YES;YES;YES;YES;YES;YES
233;Computer Sciences;YES;NO;YES;NO;NO;NO
234;L Brands;YES;YES;YES;YES;YES;YES
235;Jacobs Engineering Group;YES;NO;YES;NO;YES;NO
236;Principal Financial;YES;NO;YES;YES;YES;NO
237;Ross Stores;YES;NO;YES;YES;YES;NO
238;Bed Bath & Beyond;YES;NO;NO;NO;YES;NO
239;CSX;YES;YES;YES;YES;YES;YES
240;Toys “R” Us;YES;NO;YES;YES;YES;NO
241;Las Vegas Sands;YES;NO;YES;YES;YES;NO
242;Leucadia National;YES;YES;YES;YES;YES;YES
244;United States Steel;YES;YES;YES;YES;YES;YES
245;L-3 Communications;YES;YES;YES;YES;YES;YES
246;Edison International;YES;NO;YES;YES;YES;NO
247;Entergy;YES;YES;YES;YES;YES;YES
