range;companyname;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total;
370;Avon Products;1;0;7;0;0;0;1;1;0;10;
371;Darden Restaurants;8;0;0;0;0;0;8;2;0;18;
372;Kindred Healthcare;15;0;11;0;0;0;11;1;0;38;
373;Weyerhaeuser;16;0;4;0;0;0;0;34;0;54;
374;Casey’s General Stores;11;0;12;0;0;0;1;1;0;25;
375;Sealed Air;7;0;9;0;0;0;1;0;0;17;
376;Fifth Third Bancorp;4;0;6;0;0;0;0;0;0;10;
377;Dover;5;0;13;0;0;0;5;12;0;35;
378;Huntington Ingalls Industries;23;0;12;0;0;0;1;2;0;38;
379;Netflix;321;0;28;12;0;12;14;27;0;414;
380;Dillard’s;11;0;15;0;0;0;3;0;0;29;
381;EMCOR Group;22;0;5;0;0;0;0;0;0;27;
382;Jones Financial;24;0;4;0;0;0;0;0;0;28;
383;AK Steel Holding;0;0;14;0;0;0;2;0;0;16;
384;UGI;14;0;15;0;0;0;0;5;0;34;
385;Expedia;37;0;13;0;0;0;1;34;0;85;
386;salesforce.com;12;0;2;1;0;1;4;9;0;29;
387;Targa Resources;4;0;6;0;0;0;0;0;0;10;
388;Apache;0;0;0;0;0;0;0;0;0;0;
389;Spirit AeroSystems Holdings;9;0;15;0;0;0;11;9;0;44;
390;Expeditors International of Washington;24;0;7;0;0;0;1;0;0;32;
391;Anixter International;24;0;42;0;0;0;1;33;0;100;
392;Fidelity National Information Services;26;0;5;0;0;0;1;1;0;33;
393;Asbury Automotive Group;1;0;0;0;0;0;0;0;0;1;
394;Hess;0;0;8;0;0;0;2;1;0;11;
395;Ryder System;17;0;34;0;0;0;0;2;0;53;
396;Terex;0;0;1;0;0;0;0;0;0;1;
397;Coca-Cola European Partners;20;0;31;0;0;0;12;0;0;63;
399;Cablevision Systems;8;0;5;0;0;0;0;4;0;17;
400;Symantec;29;0;0;0;0;0;0;16;0;45;
401;Charles Schwab;2;0;21;0;0;0;1;0;0;24;
402;Calpine;2;1;6;0;0;0;0;2;0;11;
403;CMS Energy;6;0;8;0;0;0;2;1;0;17;
404;Alliance Data Systems;17;0;30;10;0;10;0;0;0;67;
405;JetBlue Airways;56;0;11;0;1;0;6;3;0;77;
406;Discovery Communications;209;0;27;4;0;4;1;0;0;245;
407;Trinity Industries;2;0;17;0;0;0;124;0;0;143;
408;Sanmina;0;0;0;0;0;0;0;0;0;0;
409;NCR;7;0;30;0;0;0;0;0;0;37;
410;FMC Technologies;6;0;1;0;0;0;16;1;0;24;
411;Erie Insurance Group;13;0;1;0;0;0;3;6;0;23;
412;Rockwell Automation;0;0;15;0;0;0;0;6;0;21;
413;Dr Pepper Snapple Group;95;0;9;0;0;0;0;3;0;107;
414;iHeartMedia;9;2;2;0;0;0;1;1;0;15;
416;J.B. Hunt Transport Services;4;0;0;0;0;0;1;4;0;9;
418;Owens-Illinois;0;0;2;0;0;0;0;0;0;2;
419;Harman International Industries;52;0;52;4;0;4;0;0;0;112;
420;Baxalta;20;0;2;0;0;0;0;0;0;22;
421;American Financial Group;10;0;4;0;0;0;8;0;0;22;
422;NetApp;8;0;5;0;0;0;0;4;0;17;
423;Graybar Electric;9;0;0;0;0;0;0;14;0;23;
424;Oshkosh;1;0;1;0;0;0;46;0;0;48;
425;Ameren;47;0;0;0;0;0;0;0;0;47;
426;A-Mark Precious Metals;33;0;5;0;0;0;1;0;0;39;
427;Barnes & Noble;0;0;7;0;0;0;81;0;0;88;
428;Dana Holding;7;0;4;0;0;0;0;0;0;11;
429;Constellation Brands;3;0;0;0;0;1;1;0;0;5;
430;LifePoint Health;2;0;2;0;0;0;0;0;0;4;
431;Zimmer Biomet Holdings;6;0;0;0;0;0;0;0;0;6;
432;Harley-Davidson;77;0;19;0;0;0;2;8;0;106;
433;PulteGroup;6;0;7;0;0;0;2;0;0;15;
434;Newell Brands;2;0;2;0;0;0;3;1;0;8;
435;Avery Dennison;24;0;30;0;0;0;0;0;0;54;
436;Jones Lang LaSalle;22;0;18;0;0;0;1;6;0;47;
437;WEC Energy Group;5;0;9;0;0;0;1;0;0;15;
438;Marathon Oil;15;0;7;0;0;0;14;0;0;36;
439;TravelCenters of America;5;0;3;0;0;0;4;0;0;12;
440;United Rentals;15;0;28;0;0;0;0;10;0;53;
441;HRG Group;2;0;8;0;0;0;0;0;0;10;
443;Windstream Holdings;9;1;0;0;0;0;3;5;1;19;
444;Starwood Hotels & Resorts;0;0;0;0;0;0;0;1;0;1;
445;Delek US Holdings;5;0;9;0;0;1;1;0;0;16;
446;Packaging Corp. of America;4;0;15;0;0;0;0;0;0;19;
447;Quintiles Transnational Holdings;11;0;2;0;0;0;1;3;0;17;
448;Hanesbrands;29;0;26;0;0;0;5;53;0;113;
449;Realogy Holdings;7;0;36;0;0;0;3;5;0;51;
450;Mattel;132;1;170;2;0;2;4;4;0;315;
451;Motorola Solutions;0;0;6;0;0;0;0;0;0;6;
452;J.M. Smucker;2;0;11;0;0;0;0;1;0;14;
453;Regions Financial;1;0;0;0;0;0;0;0;0;1;
454;Celanese;2;0;9;0;0;0;0;0;0;11;
455;Clorox;6;0;25;0;0;0;0;2;0;33;
456;Ingredion;2;0;0;0;0;0;0;0;0;2;
457;Genesis Healthcare;9;0;15;0;0;0;1;1;0;26;
458;Peabody Energy;35;0;10;0;0;0;0;0;0;45;
459;Alaska Air Group;2;0;4;0;0;0;30;22;0;58;
460;Seaboard;9;0;28;0;0;0;2;3;0;42;
461;Frontier Communications;0;0;1;0;0;0;2;3;0;6;
462;Amphenol;2;0;10;0;0;0;3;0;0;15;
463;Lansing Trade Group;9;0;33;0;0;0;1;5;0;48;
464;SanDisk;0;0;0;0;0;0;0;0;0;0;
466;Wyndham Worldwide;10;0;49;0;0;1;2;0;0;62;
467;Kelly Services;14;0;1;0;0;0;3;1;0;19;
468;Western Union;1;0;2;0;0;0;0;2;0;5;
469;Envision Healthcare Holdings;2;0;4;0;0;0;0;0;0;6;
470;Visteon;7;0;25;0;0;0;3;0;0;35;
471;Arthur J. Gallagher;9;0;32;3;0;3;0;0;0;47;
472;Host Hotels & Resorts;0;0;0;0;0;0;0;2;0;2;
473;Ashland;27;0;7;0;0;0;0;0;0;34;
474;Insight Enterprises;9;0;3;0;0;0;4;18;0;34;
475;Energy Future Holdings;6;0;5;0;0;0;2;0;0;13;
476;Markel;19;0;3;0;0;0;1;1;0;24;
477;Essendant;0;0;7;0;0;0;7;26;0;40;
478;CH2M Hill;1;0;12;0;0;0;0;0;0;13;
479;Western & Southern Financial Group;1;0;6;0;0;0;6;0;0;13;
480;Owens Corning;2;0;8;0;0;0;0;4;0;14;
481;S&P Global;1;0;6;0;0;0;0;1;0;8;
482;Raymond James Financial;3;0;13;0;0;0;0;0;0;16;
483;NiSource;13;0;9;0;0;0;2;0;0;24;
484;Airgas;9;0;10;0;0;0;4;2;0;25;
485;ABM Industries;8;0;20;0;0;0;0;6;0;34;
486;Citizens Financial Group;7;0;5;0;0;0;3;3;0;18;
487;Booz Allen Hamilton Holding;3;0;9;0;0;0;0;0;0;12;
488;Simon Property Group;22;0;1;0;0;0;7;0;0;30;
489;Domtar;4;0;3;0;0;0;5;2;0;14;
490;Rockwell Collins;9;0;2;0;0;0;2;1;0;14;
491;Lam Research;12;0;15;0;0;0;1;1;0;29;
492;Fiserv;12;0;5;0;0;0;4;9;0;30;
493;Spectra Energy;5;0;27;0;0;0;0;4;0;36;
494;Navient;6;0;6;0;0;0;0;0;0;12;
495;Big Lots;11;0;75;0;0;0;1;3;0;90;
496;Telephone & Data Systems;9;0;1;0;0;0;0;1;0;11;
497;First American Financial;4;0;21;0;0;0;0;1;0;26;
498;NVR;12;0;0;0;0;0;1;0;0;13;
499;Cincinnati Financial;9;0;7;0;0;0;0;9;0;25;
500;Burlington Stores;17;0;24;0;0;0;26;0;0;67;
