;Assets $;Market value $;Revenues $;Revenues %;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;url_y_x;external;internal;total links;url;facebook;instagram;linkedin;pinterest;twitter;youtube;Readability;Readability_index;total_words;unique_words;url_y_x;29x29;1x1;115x223;160x233;41x192;28x221;300x993;15x12;170x300;70x70;83x250;115x150;11x8;150x150;75x85;x;23x27;86x226;280x691;42x168;1x700;27x156;24x24;1x10;10x1;8x10;1x660;19x1;17x16;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time
15;166,574;149,182;74,510;8.3;52,269;Comcast;True;1;0;0;www.comcastcorporation.com;2;172;174;www.comcastcorporation.com;yes;no;yes;no;yes;yes;Very Confusing;0;529;213;www.comcastcorporation.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;1;12;0;0;13;0.684
16;40,262;49,367;73,785;-1.0;12,957;Target;True;0;5;0;www.target.com;6;23;29;www.target.com;no;no;no;no;no;no;Very Confusing;0;702;272;www.target.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;0;0;6;0;0;0;12;0;0;18;1.374
17;133,411;298,563;70,074;-5.7;71,150;"Johnson &amp; Johnson";True;0;16;0;www.jnj.com;126;50;176;www.jnj.com;yes;no;yes;no;yes;yes;Very Confusing;0;534;158;www.jnj.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;0;0;3;6;6;21;9;0;0;45;0.567
18;877,933;48,188;69,951;-4.6;67,949;MetLife;True;0;44;15;www.metlife.com;66;175;241;www.metlife.com;yes;no;yes;no;yes;yes;Very Confusing;0;831;274;www.metlife.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;12;23;4;0;39;0.218
19;43,115;19,677;64,566;-29.4;13,237;Marathon Petroleum;True;0;25;4;www.marathonpetroleum.com;15;116;131;www.marathonpetroleum.com;yes;yes;yes;no;yes;yes;Very Confusing;0;352;136;www.marathonpetroleum.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;0;0;8;0;0;3;10;0;0;21;0.072
20;1,986,050;871;63,491;-8.5;2,940;Freddie Mac;True;1;0;0;www.freddiemac.com;8;93;101;www.freddiemac.com;yes;no;yes;no;yes;yes;Very Confusing;0;560;198;www.freddiemac.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;0;0;1;0;0;3;9;27;0;40;0.159
21;69,667;149,753;63,056;-5.4;11,923;PepsiCo;True;0;29;6;www.pepsico.com;11;252;263;www.pepsico.com;yes;yes;yes;yes;yes;yes;Very Confusing;0;646;210;www.pepsico.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;0;0;2;2;2;17;30;0;0;53;1.308
22;87,484;83,727;61,047;-6.2;27,358;United Technologies;True;1;0;0;www.utc.com;7;226;233;www.utc.com;yes;yes;yes;no;yes;yes;Very Confusing;0;666;221;www.utc.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;0;0;1;3;3;110;19;13;0;149;0.436
23;53,424;39,278;60,337;4.0;16,114;Aetna;True;0;24;1;www.aetna.com;58;222;280;www.aetna.com;yes;no;yes;no;yes;yes;Very Confusing;0;716;175;www.aetna.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;0;3;0;0;12;31;10;0;56;0.15
24;31,266;67,981;59,074;5.1;7,654;Lowe’s;True;0;54;8;www.lowes.com;23;102;125;www.lowes.com;yes;yes;no;yes;yes;yes;Very Confusing;0;741;253;www.lowes.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;0;2;0;0;0;3;0;0;5;1.208
25;38,311;93,277;58,363;0.2;2,470;UPS;True;0;8;0;www.ups.com;0;6;6;www.ups.com;no;no;no;no;no;no;Very Confusing;0;490;298;www.ups.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;0;0;12;0;0;0;0;0;0;12;1.793
26;496,943;61,283;58,327;-9.4;89,658;AIG;True;0;19;10;www.aig.com;5;48;53;www.aig.com;no;no;no;no;no;no;Very Confusing;0;351;165;www.aig.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;0;0;0;0;0;21;1;1;0;23;0.057
27;757,388;32,086;57,119;5.5;41,890;Prudential Financial;True;0;61;19;www.prudential.com;13;211;224;www.prudential.com;no;no;no;no;no;no;Very Confusing;0;819;287;www.prudential.com;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;0;0;13;0;0;9;13;0;0;35;0.0
