range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
36;Alphabet;www.google.com;0,21;14;0;0;0;23;0;0;0;0;37;416;138;44;10;34;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,21
37;Comcast;www.comcastcorporation.com;0,036;10;0;3;0;0;0;0;0;0;13;680;392;173;1;172;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,036
38;Target;www.target.com;0,379;12;0;0;0;0;0;6;1;0;19;796;363;29;6;23;YES;YES;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,379
39;Johnson & Johnson;www.jnj.com;0,044;17;0;14;0;0;1;3;0;0;35;777;350;110;0;110;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,044
40;MetLife;www.metlife.com;0,046;1;0;3;0;0;0;10;26;0;40;439;205;38;0;38;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,046
41;Archer Daniels Midland;www.adm.com;0,104;0;0;5;0;0;0;1;5;0;11;629;357;89;0;89;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,104
42;Marathon Petroleum;www.marathonpetroleum.com;0,324;10;0;3;0;0;0;8;1;0;22;384;178;129;15;114;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,324
43;Freddie Mac;www.freddiemac.com;0,166;9;0;3;0;0;0;1;27;0;40;664;292;101;8;93;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,166
44;PepsiCo;www.pepsico.com;0,155;32;0;36;2;0;2;2;0;0;74;913;306;298;10;288;YES;NO;YES;NO;YES;NO;YES;YES;YES;YES;YES;0,155
45;United Technologies;www.utc.com;0,856;18;0;109;5;0;5;1;1;0;139;908;361;231;7;224;YES;YES;NO;NO;YES;NO;YES;YES;YES;NO;YES;0,856
46;Aetna;www.aetna.com;1,329;30;0;12;0;0;0;3;10;0;55;903;253;279;57;222;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,329
47;Lowe’s;www.lowes.com;0,722;3;0;0;0;0;0;1;0;0;4;965;406;121;10;111;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,722
48;UPS;www.ups.com;0,04;0;0;0;0;0;0;12;0;0;12;486;308;6;0;6;YES;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,04
49;AIG;www.aig.com;0,473;3;0;31;0;0;0;0;6;0;40;649;344;107;14;93;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,473
50;Prudential Financial;www.prudential.com;10,229;13;0;9;0;0;0;13;3;0;38;1021;394;218;13;205;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;10,229
51;Intel;www.intel.com;0,123;1;0;0;0;0;0;0;0;0;1;402;239;98;0;98;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,123
52;Humana;www.humana.com;0,616;20;0;8;0;0;0;0;1;0;29;978;396;246;14;232;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,616
53;Disney;www.disney.com;5,678;174;0;0;1976;0;1976;305;12;0;4443;2449;228;851;156;695;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;5,678
54;Cisco Systems;www.cisco.com;0,379;0;0;20;1;0;1;1;7;0;30;912;365;338;19;319;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,379
55;Pfizer;www.pfizer.com;0,483;7;0;11;0;0;0;4;3;0;25;1292;657;323;3;320;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,483
56;Dow Chemical;www.dow.com;1,097;2;0;0;0;0;0;0;6;0;8;754;323;161;1;160;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,097
57;Sysco;www.sysco.com;4,897;3;0;3;0;0;0;0;1;0;7;461;241;55;0;55;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;4,897
58;FedEx;www.fedex.com;1,366;1;0;0;0;0;0;3;9;0;13;549;114;286;0;286;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;1,366
59;Caterpillar;www.caterpillar.com;3,072;0;0;0;0;0;0;1;22;0;23;645;240;160;1;159;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;3,072
60;Lockheed Martin;www.lockheedmartin.com;2,371;12;0;13;0;0;0;1;3;0;29;545;341;114;4;110;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;2,371
61;New York Life Insurance;www.newyorklife.com;7,817;4;0;11;0;0;0;3;10;0;28;1051;445;140;12;128;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;7,817
62;Coca-Cola;www.coca-colacompany.com;2,527;164;0;245;25;0;25;0;6;0;465;1475;528;355;5;350;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;YES;2,527
