range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
156;AECOM;www.aecom.com;0,265;55;0;72;0;0;0;0;0;0;127;702;368;125;7;118;YES;YES;YES;NO;YES;NO;YES;YES;YES;YES;YES;0,265
157;Facebook;www.facebook.com;0,228;19;0;0;0;0;0;17;0;0;36;740;367;119;52;67;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,228
158;Jabil Circuit;www.jabil.com;0,369;3;0;6;0;0;0;0;3;0;12;674;339;116;4;112;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,369
159;CenturyLink;www.centurylink.com;1,247;41;0;0;0;0;0;2;40;0;83;1328;474;227;21;206;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;YES;1,247
160;Supervalu;www.supervalu.com;0,373;25;2;13;0;0;0;0;0;0;40;362;181;65;1;64;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,373
161;General Mills;www.generalmills.com;0,827;3;0;6;0;0;0;0;0;0;9;675;299;188;10;178;YES;NO;YES;YES;YES;NO;NO;YES;YES;NO;YES;0,827
163;NextEra Energy;www.nexteraenergy.com;0,192;0;0;3;0;0;0;4;3;0;10;285;148;24;0;24;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,192
164;Thermo Fisher Scientific;www.thermofisher.com;0,49;29;0;28;0;0;0;1;38;0;96;1206;406;243;30;213;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,49
166;PG&E Corp.;www.pge.com;0;0;0;0;0;0;0;0;0;0;0;20;13;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
167;NGL Energy Partners;www.nglenergypartners.com;0,158;8;0;6;0;0;0;2;0;0;16;421;234;67;1;66;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,158
168;Bristol-Myers Squibb;www.bms.com;0,546;6;0;17;0;0;0;0;0;0;23;692;371;178;4;174;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,546
169;Goodyear Tire & Rubber;www.goodyear.com;0,12;1;0;0;0;0;0;0;0;0;1;395;124;491;1;490;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,12
170;Nucor;www.nucor.com;0,535;0;0;1;0;0;0;0;2;0;3;594;382;61;0;61;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,535
171;PNC Financial Services Group;www.pnc.com;0,128;3;0;11;0;0;0;11;5;0;30;1059;531;324;26;298;YES;NO;YES;YES;NO;NO;YES;YES;NO;YES;YES;0,128
172;Health Net;www.healthnet.com;0,402;3;0;9;0;0;0;7;0;0;19;805;355;211;5;206;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,402
173;Micron Technology;www.micron.com;0,575;41;0;13;1;0;1;1;1;0;58;885;408;241;21;220;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,575
174;Colgate-Palmolive;www.colgatepalmolive.com;0,023;12;0;11;0;0;0;0;1;0;24;489;208;105;1;104;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,023
175;Freeport-McMoRan;www.fcx.com;0,022;1;0;10;0;0;0;25;0;0;36;454;225;86;1;85;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,022
176;ConAgra Foods;www.conagrafoods.com;0,606;50;0;46;0;0;0;0;2;0;98;1017;232;239;9;230;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,606
177;Gap;www.gapinc.com;0,445;4;0;11;0;0;0;1;1;0;17;449;275;68;6;62;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,445
178;Baker Hughes;www.bakerhughes.com;0,349;7;0;17;0;0;0;0;5;1;30;1113;631;297;4;293;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,349
179;Bank of New York Mellon Corp.;www.bnymellon.com;0,212;23;0;11;0;0;0;0;0;0;34;671;328;147;6;141;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,212
180;Dollar Tree;www.dollartree.com;0,173;21;0;48;0;0;0;11;1;0;81;1318;521;502;11;491;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;NO;0,173
181;Whole Foods Market;www.wholefoodsmarket.com;0,412;8;0;262;0;0;0;10;19;2;301;3161;1529;275;9;266;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,412
182;PPG Industries;www.ppg.com;0,409;1;0;4;0;0;0;0;9;0;14;812;423;135;8;127;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,409
183;Genuine Parts;www.genpt.com;0,181;11;0;9;0;0;0;1;0;0;21;176;80;33;2;31;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,181
184;Icahn Enterprises;www.ielp.com;0,156;0;0;1;0;0;0;15;1;0;17;311;127;41;1;40;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,156
185;Performance Food Group;www.pfgc.com;1,137;6;0;19;0;0;0;0;0;0;25;702;402;74;5;69;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;YES;1,137
186;Omnicom Group;www.omnicomgroup.com;0,604;0;0;16;0;0;0;0;1;0;17;373;206;49;4;45;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;NO;0,604
187;DISH Network;www.dish.com;0,442;44;0;0;0;0;0;2;24;0;70;1116;434;265;9;256;YES;NO;NO;YES;NO;NO;YES;YES;YES;NO;NO;0,442
188;FirstEnergy;www.firstenergycorp.com;0,617;12;0;14;0;0;0;0;8;0;34;528;267;181;4;177;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,617
189;Monsanto;www.monsanto.com;1,391;67;0;15;0;0;0;2;0;0;84;895;429;207;2;205;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;1,391
190;AES;www.aes.com;0,601;3;0;20;1;0;1;3;2;0;30;761;324;219;3;216;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,601
191;CarMax;www.carmax.com;0,33;10;0;6;0;0;0;0;2;0;18;968;404;285;3;282;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,33
192;National Oilwell Varco;www.nov.com;1,131;49;0;59;0;0;0;0;7;0;115;1330;207;98;11;87;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;1,131
193;NRG Energy;www.nrgenergy.com;0,198;5;0;7;0;0;0;0;0;0;12;522;294;84;5;79;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,198
194;Western Digital;www.westerndigital.com;0,028;5;0;12;0;0;0;0;0;0;17;520;229;194;3;191;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,028
195;Marriott International;www.marriott.com;0,103;63;0;8;0;0;0;1;18;0;90;1210;554;207;8;199;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,103
196;Office Depot;www.officedepot.com;0,081;14;0;9;0;0;0;11;6;0;40;1065;482;181;17;164;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,081
197;Nordstrom;www.nordstrom.com;0,392;26;0;3;42;0;42;106;18;0;237;1419;217;650;20;630;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,392
198;Kinder Morgan;www.kindermorgan.com;0,461;7;0;1;0;0;0;10;0;0;18;509;266;52;2;50;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,461
199;Aramark;www.aramark.com;0,615;6;0;0;3;0;3;4;0;0;16;705;277;188;13;175;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,615
200;DaVita HealthCare Partners;www.davita.com;0,517;21;0;17;0;0;0;0;2;0;40;916;468;266;21;245;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;0,517
201;Molina Healthcare;www.molinahealthcare.com;0,082;7;0;10;0;0;0;1;2;0;20;934;481;106;0;106;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;0,082
202;WellCare Health Plans;www.wellcare.com;0,224;0;0;0;0;0;0;0;2;0;2;513;243;58;0;58;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,224
203;CBS;www.cbscorporation.com;0,476;25;0;25;0;0;0;0;0;0;50;517;230;102;0;102;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,476
204;Visa;www.visa.com;0,099;1;0;6;0;0;0;0;0;0;7;365;199;32;0;32;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,099
205;Lincoln National;www.lfg.com;1,436;21;0;0;0;0;0;1;18;0;40;788;260;275;7;268;YES;YES;NO;NO;YES;NO;YES;YES;NO;NO;YES;1,436
206;Ecolab;www.ecolab.com;1,139;29;0;105;0;0;0;1;1;0;136;1475;711;331;3;328;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;1,139
207;Kellogg;www.kelloggcompany.com;0,05;97;0;8;0;0;0;5;0;0;110;599;303;145;3;142;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,05
208;C.H. Robinson Worldwide;www.chrobinson.com;0,643;10;0;20;0;0;0;11;2;0;43;864;298;197;15;182;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,643
209;Textron;www.textron.com;0,299;12;0;18;0;0;1;1;2;0;34;665;371;81;17;64;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,299
210;Loews;www.loews.com;0,131;6;0;7;0;0;0;0;0;0;13;511;279;62;0;62;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,131
211;Illinois Tool Works;www.itw.com;0,203;1;0;21;0;0;0;0;1;0;23;494;246;80;0;80;YES;YES;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,203
212;Synnex;www.synnex.com;0;0;0;0;0;0;0;0;0;0;0;23;13;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
213;Viacom;www.viacom.com;0,124;15;0;3;0;0;0;1;3;0;22;611;340;59;1;58;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,124
214;HollyFrontier;www.hollyfrontier.com;0,367;11;0;5;0;0;0;2;1;0;19;525;241;141;0;141;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,367
215;Land O’Lakes;www.landolakesinc.com;0,214;8;0;6;0;0;0;0;0;0;14;486;249;51;4;47;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,214
216;Devon Energy;www.devonenergy.com;0,205;21;0;9;0;0;0;0;0;0;30;611;319;142;8;134;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;NO;0,205
218;Yum Brands;www.yum.com;0,926;23;0;1;0;0;0;0;0;0;24;784;267;229;1;228;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,926
219;Texas Instruments;www.ti.com;0,132;7;0;0;0;0;0;2;0;0;9;686;130;401;28;373;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,132
220;CDW;www.cdw.com;0,06;14;0;6;0;0;0;4;15;0;39;1240;746;116;25;91;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,06
221;Waste Management;www.wm.com;0,739;3;0;3;0;0;0;1;1;0;8;789;332;132;1;131;YES;NO;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,739
222;Marsh & McLennan;www.mmc.com;0,223;5;0;66;0;0;0;0;5;0;76;1029;573;119;11;108;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,223
223;Chesapeake Energy;www.chk.com;0,6;6;0;14;0;0;0;0;6;0;26;822;455;211;7;204;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,6
224;Parker-Hannifin;www.parker.com;0,152;2;0;22;0;0;0;1;16;0;41;529;189;95;0;95;YES;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO;0,152
225;Occidental Petroleum;www.oxy.com;1,016;25;0;14;0;0;0;2;0;0;41;702;266;132;2;130;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;1,016
226;Guardian Life Ins. Co. of America;www.guardianlife.com;0;0;0;0;0;0;0;0;0;0;0;71;26;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
227;Farmers Insurance Exchange;www.farmers.com;0,087;16;0;6;0;0;0;0;4;0;26;737;354;149;32;117;YES;NO;NO;NO;YES;NO;YES;YES;YES;NO;YES;0,087
228;J.C. Penney;www.jcpenney.com;0,07;0;0;0;0;0;0;18;1;0;19;884;349;180;10;170;YES;YES;YES;NO;YES;NO;YES;YES;NO;YES;YES;0,07
229;Consolidated Edison;www.conedison.com;0,154;1;0;38;0;0;0;35;1;0;75;219;84;30;0;30;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,154
230;Cognizant Technology Solutions;www.cognizant.com;0,432;15;0;11;2;0;2;1;0;0;31;918;340;745;11;734;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,432
231;VF;www.vfc.com;0,214;29;0;15;0;0;0;4;0;0;48;599;298;172;6;166;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;0,214
232;Ameriprise Financial;www.ameriprise.com;0,193;8;0;5;0;0;0;0;3;0;16;467;212;32;1;31;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,193
233;Computer Sciences;www.csc.com;0,107;11;1;46;0;0;0;4;0;0;62;1582;755;465;6;459;YES;NO;YES;NO;NO;NO;YES;YES;NO;NO;YES;0,107
234;L Brands;www.lb.com;0,566;19;0;52;0;0;0;0;2;0;73;460;209;136;8;128;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,566
235;Jacobs Engineering Group;www.jacobs.com;0,368;41;0;34;0;0;0;0;21;0;96;707;276;199;4;195;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,368
236;Principal Financial;www.principal.com;0,769;4;0;6;0;0;0;1;2;0;13;1152;527;388;106;282;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,769
237;Ross Stores;www.rossstores.com;0,308;5;0;12;0;0;0;3;0;0;20;494;207;83;5;78;YES;NO;YES;YES;YES;NO;YES;NO;YES;NO;YES;0,308
238;Bed Bath & Beyond;www.bedbathandbeyond.com;0,195;16;0;19;0;0;0;65;12;0;112;1459;570;183;4;179;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;YES;0,195
239;CSX;www.csx.com;0,597;80;0;27;0;0;0;0;3;0;110;863;423;144;13;131;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,597
240;Toys “R” Us;www.toysrusinc.com;0,171;15;0;20;0;0;0;0;0;0;35;356;117;127;10;117;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,171
241;Las Vegas Sands;www.sands.com;0,006;6;0;17;0;0;0;0;0;0;23;274;144;55;4;51;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;NO;0,006
242;Leucadia National;www.leucadia.com;0,144;1;0;0;0;0;0;0;0;0;1;247;167;12;0;12;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,144
244;United States Steel;www.ussteel.com;0,338;3;0;10;0;0;0;5;17;0;35;714;326;99;5;94;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,338
245;L-3 Communications;www.l-3com.com;0,33;15;0;6;0;0;0;1;0;0;22;654;358;101;3;98;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;YES;0,33
246;Edison International;www.edisoninvestor.com;0,341;17;0;62;0;0;0;1;2;0;82;947;523;138;6;132;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,341
247;Entergy;www.entergy.com;0,53;5;0;24;0;0;0;16;1;0;46;598;287;82;9;73;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,53
248;ADP;www.adp.com;1,651;6;0;0;0;1;0;1;1;0;9;1440;543;333;3;330;YES;NO;YES;NO;NO;NO;NO;YES;NO;NO;NO;1,651
249;First Data;www.firstdata.com;0,078;1;0;0;0;0;0;0;0;0;1;279;159;81;1;80;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,078
250;BlackRock;www.blackrock.com;0,037;15;0;0;0;0;0;0;0;0;15;624;193;127;20;107;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,037
251;WestRock;www.westrock.com;0,153;12;0;75;0;0;0;0;0;0;87;561;292;94;14;80;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,153
252;Voya Financial;www.voya.com;0,094;26;0;9;0;0;0;2;2;0;39;760;212;306;225;81;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,094
253;Sherwin-Williams;www.sherwin.com;0,019;2;0;9;0;0;0;1;7;0;19;756;322;50;0;50;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;0,019
254;Hilton Worldwide Holdings;www.hiltonworldwide.com;0,002;0;0;0;0;0;0;0;0;0;0;247;204;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,002
255;R.R. Donnelley & Sons;www.rrdonnelley.com;1,064;61;1;7;0;0;0;2;4;0;75;1076;449;380;4;376;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;1,064
256;Stanley Black & Decker;www.stanleyblackanddecker.com;0,318;9;0;50;0;0;1;2;0;0;62;801;409;165;0;165;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,318
257;Xcel Energy;www.xcelenergy.com;0,415;19;0;10;0;0;0;0;1;0;30;556;246;82;15;67;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,415
258;Murphy USA;corporate.murphyusa.com;0,166;0;0;1;0;0;0;1;0;0;2;319;148;74;0;74;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,166
259;CBRE Group;www.cbre.com;0,406;3;0;10;2;0;2;1;3;0;21;896;480;208;10;198;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,406
260;D.R. Horton;www.drhorton.com;0,858;4;0;0;0;0;0;1;2;0;7;512;223;66;5;61;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;0,858
261;Estee Lauder;www.elcompanies.com;0,715;13;0;29;0;0;0;2;0;0;44;642;296;143;0;143;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,715
262;Praxair;www.praxair.com;0,646;6;0;15;0;0;0;0;4;0;25;834;401;164;5;159;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,646
263;Biogen;www.biogen.com;1,964;58;0;63;0;0;0;3;5;2;131;1512;720;536;67;469;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;1,964
264;State Street Corp.;www.statestreet.com;1,392;50;0;12;4;0;4;13;3;0;86;904;326;228;4;224;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;1,392
265;Unum Group;www.unum.com;0,139;6;0;1;0;0;0;0;2;0;9;532;252;65;6;59;YES;YES;NO;YES;YES;NO;NO;YES;NO;NO;NO;0,139
266;Reynolds American;www.reynoldsamerican.com;0,677;11;0;6;0;0;0;2;0;0;19;647;291;137;3;134;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,677
267;Group 1 Automotive;www.group1auto.com;0,598;1;0;18;0;0;0;0;4;0;23;882;320;526;6;520;YES;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO;0,598
268;Henry Schein;www.henryschein.com;0,011;0;0;0;0;0;0;1;0;0;1;221;122;18;0;18;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,011
269;Hertz Global Holdings;www.hertz.com;0,109;5;0;0;0;0;0;0;0;0;5;1106;539;39;0;39;YES;YES;NO;NO;YES;NO;YES;NO;NO;NO;NO;0,109
270;Norfolk Southern;www.nscorp.com;0,78;8;0;86;0;0;0;0;10;0;104;894;475;244;18;226;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,78
271;Reinsurance Group of America;www.rgare.com;0,744;3;0;7;0;0;0;1;6;0;17;773;418;130;2;128;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,744
272;Public Service Enterprise Group;www.pseg.com;0,48;31;0;8;0;0;0;9;22;0;70;688;315;143;18;125;YES;NO;YES;NO;NO;NO;YES;YES;NO;NO;YES;0,48
273;BB&T Corp.;www.bbt.com;0,041;0;0;2;0;0;0;2;4;0;8;867;413;277;16;261;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,041
274;DTE Energy;www.dteenergy.com;3,276;6;0;21;0;0;0;1;21;0;49;1246;300;586;19;567;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;3,276
275;Assurant;www.assurant.com;0,378;4;0;3;0;0;0;0;0;0;7;349;136;67;2;65;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;NO;0,378
277;Huntsman;www.huntsman.com;0,384;0;0;9;0;1;0;68;0;0;78;442;224;62;5;57;YES;YES;NO;YES;YES;NO;YES;YES;NO;NO;YES;0,384
278;Becton Dickinson;www.bd.com;0,472;17;0;18;0;0;0;0;1;0;36;595;329;85;5;80;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,472
279;Sempra Energy;www.sempra.com;0,447;8;0;13;0;0;0;0;0;0;21;441;226;91;2;89;YES;YES;YES;YES;NO;NO;NO;YES;NO;NO;NO;0,447
280;AutoZone;www.autozone.com;0,17;15;0;10;0;0;0;9;36;0;70;1049;395;178;4;174;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,17
281;Navistar International;www.navistar.com;0,311;12;0;4;0;0;0;3;4;0;23;696;402;130;7;123;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,311
282;Precision Castparts;www.precast.com;0;0;0;17;0;0;0;1;0;0;18;388;198;91;12;79;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
283;Discover Financial Services;www.discoverfinancial.com;0;0;0;0;0;0;0;0;0;0;0;9;8;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
284;Liberty Interactive;www.libertyinteractive.com;0,001;0;0;2;0;0;0;0;0;0;2;231;125;54;1;53;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,001
285;W.W. Grainger;www.grainger.com;1,02;15;0;8;0;0;0;10;12;0;45;1093;444;167;6;161;YES;NO;NO;YES;YES;NO;YES;YES;YES;NO;YES;1,02
286;Baxter International;www.baxter.com;0,594;11;0;14;0;0;0;0;0;0;25;620;292;100;5;95;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,594
287;Stryker;www.stryker.com;0,944;7;0;0;0;0;0;2;4;0;13;627;358;151;8;143;YES;NO;YES;NO;YES;NO;YES;NO;NO;NO;YES;0,944
288;Air Products & Chemicals;www.airproducts.com;0,317;0;0;17;0;0;0;4;3;0;24;807;382;269;8;261;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,317
289;Western Refining;www.wnr.com;0,235;2;0;7;0;0;0;0;1;0;10;256;153;32;2;30;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,235
290;Universal Health Services;www.uhsinc.com;0,359;1;0;7;0;0;0;0;0;0;8;468;271;79;4;75;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,359
291;Owens & Minor;www.owens-minor.com;2,191;2;0;7;0;0;0;7;0;0;16;844;383;141;3;138;YES;YES;YES;NO;YES;NO;YES;NO;NO;NO;NO;2,191
292;Charter Communications;www.charter.com;0,423;10;0;7;0;0;0;4;8;0;29;966;457;128;14;114;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,423
293;Advance Auto Parts;www.advanceautoparts.com;0,166;21;0;10;0;0;0;11;5;0;47;1309;491;282;7;275;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,166
294;MasterCard;www.mastercard.com;0,065;6;0;0;0;0;0;1;2;0;9;689;427;283;0;283;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,065
295;Applied Materials;www.appliedmaterials.com;0,016;2;0;9;0;0;1;2;0;0;14;535;230;155;2;153;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,016
296;Eastman Chemical;www.eastman.com;0,644;3;0;13;0;0;0;6;0;0;22;762;364;129;3;126;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,644
297;Sonic Automotive;www.sonicautomotive.com;0,707;4;0;26;0;0;0;0;15;0;45;1062;440;129;5;124;YES;YES;NO;YES;YES;NO;YES;YES;YES;YES;YES;0,707
298;Ally Financial;www.ally.com;0,105;8;0;0;0;0;0;0;0;0;8;698;215;165;14;151;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,105
299;CST Brands;www.cstbrands.com;0,431;6;0;0;0;0;0;1;1;0;8;432;206;22;0;22;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,431
300;eBay;www.ebay.com;1,544;14;0;149;0;1;0;16;1;0;181;1348;610;518;15;503;YES;NO;YES;YES;NO;NO;YES;YES;NO;NO;NO;1,544
301;Lennar;www.lennar.com;0,973;7;0;11;1;1;1;11;43;0;75;1089;510;210;6;204;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,973
302;GameStop;www.gamestopcorp.com;0,028;0;0;11;0;0;0;2;0;0;13;362;182;38;3;35;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,028
303;Reliance Steel & Aluminum;www.rsac.com;1,093;95;0;90;0;0;0;1;74;0;260;2111;976;187;2;185;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;1,093
304;Hormel Foods;www.hormelfoods.com;0,183;12;0;0;0;0;0;0;0;0;12;480;243;103;6;97;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,183
305;Celgene;www.celgene.com;1,247;15;0;95;0;0;0;1;8;0;119;1280;479;355;5;350;YES;NO;YES;NO;NO;NO;YES;YES;NO;YES;YES;1,247
306;Genworth Financial;www.genworth.com;0,524;3;0;15;0;0;0;0;0;0;18;877;380;212;14;198;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,524
308;Priceline Group;www.pricelinegroup.com;0,351;14;0;0;0;0;0;5;0;0;19;582;222;92;12;80;YES;NO;YES;NO;NO;NO;YES;YES;NO;NO;NO;0,351
309;MGM Resorts International;www.mgmresorts.com;0,464;0;0;9;0;0;0;9;0;0;18;361;209;155;25;130;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,464
310;Autoliv;www.autoliv.com;0,69;98;0;11;0;0;0;37;4;0;150;1016;438;208;15;193;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,69
312;Republic Services;www.republicservices.com;0,002;1;0;0;0;0;0;0;0;0;1;127;75;6;0;6;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,002
313;Corning;www.corning.com;0,073;15;0;296;14;0;14;2;3;0;344;811;256;176;19;157;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,073
314;Peter Kiewit Sons’;www.kiewit.com;0,302;4;0;10;0;0;0;14;3;0;31;570;301;141;0;141;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,302
315;Univar;www.univar.com;1,18;3;0;1;0;0;0;2;14;0;20;648;352;87;2;85;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;1,18
316;Mosaic;www.mosaicco.com;0,181;5;0;8;0;0;0;15;0;0;28;455;248;95;3;92;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,181
